polity_name,start_year,end_year,area
Surinam,NA,NA,145625.826410539
Swaziland (Eswatini),1895,NA,17141.6277150941
Sweden,NA,1905,761931.849037447
Sweden,1905,NA,443303.22787111
Switzerland,NA,NA,41387.3386758665
Syria,1920,1967,188006.421113365
Syria,1967,NA,186893.935812454
Taiwan,1895,NA,36072.6424089373
Tajikistan,1991,NA,142302.448864917
Tanzania (Tanganyika),1891,1920,995367.195688279
Tanzania (Tanganyika),1920,1922,942808.274643413
Tanzania (Tanganyika),1922,1964,942808.274627409
Tanzania (Tanganyika),1964,NA,945410.754158882
Tasmania,NA,1900,68035.0438144945
Thailand,NA,1893,781326.824128609
Thailand,1893,1904,606490.185153188
Thailand,1904,1907,587704.154295805
Thailand,1907,1909,554803.583877749
Thailand,1909,NA,514018.73884108
Tibet,1913,1914,1887227.61882773
Tibet,1914,1950,1812453.40827939
Togo,1922,NA,57333.5740999207
Transvaal,NA,1910,302442.842031073
Trinidad and Tobago,NA,NA,5016.61648556655
Tunisia,NA,NA,155399.790995646
Turkey (Ottoman Empire),NA,1912,2824829.80691671
Turkey (Ottoman Empire),1913,1914,1785218.2267676
Turkey (Ottoman Empire),1914,1918,1706394.04914947
Turkey (Ottoman Empire),1918,1920,1657784.28386247
Turkey (Ottoman Empire),1920,NA,779310.966699917
Turkmenistan,1991,NA,471275.665248923
Uganda,1894,1902,383067.356624925
Uganda,1902,1910,270133.045476112
Uganda,1910,1926,283773.284097962
Uganda,1926,NA,243164.614324395
Ukraine,1991,2014,595623.587231695
Ukraine,2014,NA,569846.589772492
Unfederated Malay States,NA,1909,19197.2895395183
Unfederated Malay States,1909,1946,57275.2853880376
United Arab Emirates,1892,NA,70388.9858158087
United Kingdom,NA,1921,312337.502382956
United Kingdom,1921,NA,243043.607491228
United States of America,NA,1959,7933039.20576602
United States of America,1959,NA,9446590.63976667
Uruguay,NA,NA,177954.34366112
Uzbekistan,1991,NA,446025.680915929
Venezuela,NA,NA,914714.407105793
Victoria,NA,1900,237988.33718784
Vietnam (Annam/Cochin China/Tonkin),NA,1893,381082.181298306
Vietnam (Annam/Cochin China/Tonkin),1893,1954,325295.162370659
"Vietnam, Democratic Republic of",1954,1975,156083.669090524
"Vietnam, Democratic Republic of",1975,NA,325295.162370659
"Vietnam, Republic of",1954,1975,169211.493198286
West Bank,1948,1967,5875.4689049651
West Irian (Dutch New Guinea),1949,1969,412169.914547619
Western Australia,NA,1900,2526913.78798898
Yemen (Arab Republic of Yemen),1918,1990,137041.08629334
Yemen (Arab Republic of Yemen),1990,2000,425262.830533387
Yemen (Arab Republic of Yemen),2000,NA,455206.751688149
"Yemen, People's Republic of",1967,1990,288221.744240046
Yugoslavia,1918,1919,157703.111315994
Yugoslavia,1919,1920,191595.681204073
Yugoslavia,1920,1991,254670.47327115
Yugoslavia,1991,1992,229246.240665249
Yugoslavia,1992,2006,101730.971230945
Zambia,1911,NA,754743.449428651
Zanzibar,1890,1964,2602.47954567458
Zimbabwe (Rhodesia),1889,1891,391048.929621722
Zimbabwe (Rhodesia),1891,1900,1048517.13584997
Zimbabwe (Rhodesia),1900,NA,391048.929621722
